S.No,Query,User,Input Sentiment,User Information Need,User Evaluation Criteria,link,Context Class,Relevance Score,Comments
1,Insurance fraud in healthcare,User 1,Negative,"User wants to know the reports of fraudulent cases in healthcare insurance, to avoid falling into the trap of similar fraud techniques.","Relevant: Documents describing reports of historical cases of fraudulent activities in the healthcare insurance industry; mentioning the numbers involved in such fraud; blogs on how to escape from such frauds.

Irrelevant: Documents discussing frauds in insurance of other domains like car, house, etc.",https://www.forbes.com/advisor/health-insurance/best-health-insurance-companies/,Positive,0,"contains list of trusted healthcare companies, their ratings and customer feedback"
,,,,,,https://www.fbi.gov/scams-and-safety/common-scams-and-crimes/health-care-fraud,Negative,1,document talks about scams in the healthcare insurance industry
,,,,,,https://www.valuepenguin.com/best-health-insurance-companies,Positive,0,contains list of trusted healthcare companies in the current year
,,,,,,https://www.investopedia.com/best-health-insurance-companies-4775920,Positive,0,contains list of trusted healthcare companies in the current year and best plans are mentioned as comparison
,,,,,,https://www.thebalance.com/best-health-insurance-companies-4174511,Positive,0,contains list of trusted healthcare companies in the current year
,,,,,,https://www.fbi.gov/scams-and-safety/common-scams-and-crimes,Negative,0,fbi report on variety of fraud cases that are not healthcare
,,,,,,https://www.moneygeek.com/insurance/health/resources/protecting-against-fraud/,Positive,1,"document talks about avoiding insurance frauds, tips and guidance"
,,,,,,https://www.helpstopfraud.org/Types-of-Insurance-Fraud/Health,Positive,1,"document talks about avoiding insurance frauds, helpline and recovery"
,,,,,,https://www.atlanta-criminal-law.com/blog/2020/october/the-3-main-types-of-fraud/,Negative,0,document talks about common scams and fraudulent activities
,,,,,,https://www.rocklandtrust.com/learning-center/business-resources/8-ways-to-protect-yourself-from-fraud,Positive,0,documents provides safety measures against scams and frauds but it is not related to healthcare insurance
